Sent1	Sent2	Human_sim_score	var	WordNet_wup_max	WordNet_wup_min	WordNet_wup_first	WordNet_wup_avg	WordNet_res_max	WordNet_res_min	WordNet_res_first	WordNet_res_avg	Yago_wup_max	Yago_wup_min	Yago_wup_first	Yago_wup_avg	Yago_res_max	Yago_res_min	Yago_res_first	Yago_res_avg
Cord is strong, thick string.	A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.	0.04	0.16																
A rooster is an adult male chicken.	A voyage is a long journey on a ship or in a spacecraft.	0.02	0.09																
Noon is 12 o'clock in the middle of the day.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	0.05	0.2																
Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	0.19	0.63																
An autograph is the signature of someone famous which is specially written for a fan to keep.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.02	0.09																
An automobile is a car.	In legends and fairy stories, a wizard is a man who has magic powers.	0.08	0.26																
A mound of something is a large rounded pile of it.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	0.02	0.26																
A grin is a broad smile.	An implement is a tool or other piece of equipment.	0.02	0.08																
An Asylum is a psychiatric hospital.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.02	0.09																
An Asylum is a psychiatric hospital.	A monk is a member of a male religious community that is usually separated from the outside world.	0.15	0.34																
A graveyard is an area of land, sometimes near a church, where dead people are buried.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.09	0.32																
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A magician is a person who entertains people by doing magic tricks.	0.03	0.12																
A boy is a child who will grow up to be a man.	A rooster is an adult male chicken.	0.43	0.72																
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.21	0.48																
A monk is a member of a male religious community that is usually separated from the outside world.	A slave is someone who is the property of another person and has to work for that person.	0.18	0.38																
An Asylum is a psychiatric hospital.	A cemetery is a place where dead people's bodies or their ashes are buried.	0.15	0.42																
The coast is an area of land that is next to the sea.	A forest is a large area where trees grow close together.	0.19	0.34																
